nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;35253;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;5086;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;6657;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;5466;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;8565;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;3279;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;3699;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;4902;September
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;8516;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;12109;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;13900;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;110527;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;375;Januari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;271;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;472;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;679;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;827;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;1336;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;170;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;231;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;483;September
